customer_id,reliability_score,potential_value,account_status,signup_date
1000,394,143832,0,2024-02-08 00:00:00.000000
1001,779,33751,0,2024-03-03 00:00:00.000000
1002,613,176099,0,2024-03-05 00:00:00.000000
1003,743,102116,0,2024-01-12 00:00:00.000000
1004,600,79327,2,2024-03-11 00:00:00.000000
1005,671,84386,0,2024-03-15 00:00:00.000000
1006,575,56358,0,2024-03-20 00:00:00.000000
1007,381,157326,0,2024-03-15 00:00:00.000000
1008,432,141294,0,2024-01-07 00:00:00.000000
1009,835,91309,0,2024-03-21 00:00:00.000000
1010,729,51142,0,2024-02-14 00:00:00.000000
1011,371,107451,0,2024-01-14 00:00:00.000000
1012,811,139161,2,2024-02-06 00:00:00.000000
1013,512,164885,0,2024-02-03 00:00:00.000000
1014,747,50315,0,2024-03-02 00:00:00.000000
1015,587,72831,0,2024-01-21 00:00:00.000000
1016,820,89944,1,2024-02-26 00:00:00.000000
1017,700,35556,1,2024-01-29 00:00:00.000000
1018,567,148762,0,2024-03-21 00:00:00.000000
1019,494,58329,0,2024-03-02 00:00:00.000000
1020,766,51985,0,2024-03-12 00:00:00.000000
1021,743,144858,0,2024-02-29 00:00:00.000000
1022,488,144916,0,2024-02-15 00:00:00.000000
1023,634,25961,0,2024-01-13 00:00:00.000000
1024,569,126944,0,2024-03-17 00:00:00.000000
1025,632,32671,0,2024-03-09 00:00:00.000000
1026,632,108572,0,2024-03-12 00:00:00.000000
1027,501,116454,0,2024-01-03 00:00:00.000000
1028,841,54333,0,2024-03-30 00:00:00.000000
1029,776,25550,0,2024-01-22 00:00:00.000000
1030,777,65021,0,2024-02-09 00:00:00.000000
1031,680,40204,1,2024-02-20 00:00:00.000000
1032,848,126290,0,2024-02-07 00:00:00.000000
1033,757,71394,0,2024-01-16 00:00:00.000000
1034,403,34407,0,2024-03-03 00:00:00.000000
1035,580,134729,0,2024-01-15 00:00:00.000000
1036,819,44369,0,2024-02-14 00:00:00.000000
1037,573,46594,0,2024-02-04 00:00:00.000000
1038,691,120845,0,2024-03-27 00:00:00.000000
1039,393,74814,2,2024-01-11 00:00:00.000000
1040,533,165372,0,2024-02-11 00:00:00.000000
1041,482,142276,0,2024-03-28 00:00:00.000000
1042,480,134702,0,2024-03-07 00:00:00.000000
1043,486,32680,1,2024-01-09 00:00:00.000000
1044,413,92924,0,2024-03-05 00:00:00.000000
1045,502,149385,0,2024-02-22 00:00:00.000000
1046,581,157058,0,2024-02-14 00:00:00.000000
1047,709,126127,0,2024-02-08 00:00:00.000000
1048,420,113455,0,2024-02-26 00:00:00.000000
1049,392,141198,0,2024-02-07 00:00:00.000000
1050,439,99038,0,2024-02-29 00:00:00.000000
1051,422,128432,0,2024-01-10 00:00:00.000000
1052,746,47294,2,2024-03-30 00:00:00.000000
1053,640,91526,0,2024-02-01 00:00:00.000000
1054,497,23648,2,2024-02-07 00:00:00.000000
1055,591,94737,0,2024-03-11 00:00:00.000000
1056,487,97865,0,2024-02-09 00:00:00.000000
1057,818,45763,0,2024-02-21 00:00:00.000000
