customer_id,month,replacement_total
1100,2024-08,187.207775
1007,2024-04,343.473915
1040,2024-09,294.281037
1038,2024-09,273.848884
1045,2024-05,215.741981
1041,2024-05,303.599351
1112,2024-02,158.403622
1069,2024-04,265.580743
1059,2024-07,348.197353
1026,2024-08,151.242384
1108,2024-04,255.465085
1042,2024-03,304.851311
1033,2024-08,325.584199
1088,2024-05,268.20048
1032,2024-09,142.246298
1013,2024-09,154.621824
1134,2024-03,66.019829
1085,2024-09,280.656934
1077,2024-01,72.394486
1094,2024-05,94.411578
1140,2024-07,109.844189
1107,2024-03,198.192677
1105,2024-07,273.98532
1004,2024-04,100.31064
1047,2024-08,187.620612
1118,2024-06,200.02687
1073,2024-08,121.562836
1121,2024-03,93.511929
1092,2024-03,302.562068
1070,2024-07,205.715038
1149,2024-06,64.170558
1094,2024-06,292.864577
1069,2024-09,344.430204
1019,2024-04,235.718597
1071,2024-09,206.075432
1115,2024-08,314.7406
1102,2024-06,336.229869
1134,2024-08,278.815706
1058,2024-09,189.18135
2000,2024-04,650.0
2001,2024-05,700.0
2002,2024-06,690.0
2003,2024-07,710.0
2004,2024-08,705.0
